Vendor_ID,Vendor_Name,V_Contact_Name,V_Contact_Number,V_Address,V_Email,V_Products,V_Category
SPL-001,Frye LLC,Barbara Cameron,555-436-4135,"92537 Delgado Haven, Lake Joshua, NM 82943",BarbaraCameron@FryeLLC.com,Disinfectant Spray,Cleaning & Household Essentials
SPL-002,Richardson-Hughes,Jennifer Howe,323-344-3426,"1322 Marshall Courts, Marshalltown, IA 94096",JenniferHowe@Richardson-Hughes.com,Printer,Office Supplies
SPL-003,Rivera-Rivera,Justin Wells,619-916-1099,"545 Rodriguez Trace, Lake Michele, KS 31435",JustinWells@Rivera-Rivera.com,Smart Plug,Smart Home Devices
SPL-004,Johnson Group,Christine Clark,602-471-4754,"891 Mclean Motorway Suite 920, Martinmouth, ND 64800",ChristineClark@JohnsonGroup.com,Wallet,Accessories
SPL-005,"Smith, Gomez and Brown",Jonathan Jackson,214-657-6348,"PSC 4025, Box 6836, APO AA 90276","JonathanJackson@Smith,GomezandBrown.com",Wristwatch,Accessories
SPL-006,"Frederick, Stewart and Smith",Elaine Jackson,713-316-5715,"46409 James Point Apt. 467, New Michael, GA 82193","ElaineJackson@Frederick,StewartandSmith.com",Wardrobe,Furniture
SPL-007,Juarez-Reynolds,Christopher Stuart,323-494-9649,"06396 Perry Mountains Apt. 613, Samanthaborough, WA 52584",ChristopherStuart@Juarez-Reynolds.com,Smart Thermostat,Smart Home Devices
SPL-008,"Hart, Willis and Hughes",Joel Mcdonald,408-333-4138,"72581 Nguyen Summit, Rachelmouth, CT 04888","JoelMcdonald@Hart,WillisandHughes.com",Motion Sensor,Smart Home Devices
SPL-009,Thomas-Williams,Diane Kelly,312-455-5770,"44196 Jason Isle, North Joanna, NY 23788",DianeKelly@Thomas-Williams.com,Bed Frame,Furniture
SPL-010,Thompson-Nichols,Aaron Schroeder,312-940-9315,"40215 Brandon Shoals Apt. 722, North Andrewbury, TX 67529",AaronSchroeder@Thompson-Nichols.com,Smartwatch,Electronics
SPL-011,Meza Inc,Pam Soto,408-366-4960,"921 Brandon Tunnel Apt. 960, Smithtown, OH 77941",PamSoto@MezaInc.com,Microwave Oven,Home & Kitchen
SPL-012,Rice-Jackson,Brian Meza,312-294-3538,"380 Gregory Views Suite 849, West Brittanyfort, GA 34285",BrianMeza@Rice-Jackson.com,Desk Lamp,Office Supplies
SPL-013,"Brock, Moon and Black",Michaela Wells,323-721-4645,"PSC 8953, Box 1075, APO AP 17994","MichaelaWells@Brock,MoonandBlack.com",Coffee Maker,Home & Kitchen
SPL-014,"Davis, Andrews and Mitchell",Randy Bass,210-498-7406,"469 Cunningham Wells Apt. 292, Jennychester, NH 34908","RandyBass@Davis,AndrewsandMitchell.com",Sofa Set,Furniture
SPL-015,Poole LLC,Leah Davidson,323-130-9515,"69131 Audrey Run Suite 102, Kimberlyburgh, NC 77723",LeahDavidson@PooleLLC.com,Dish Soap,Cleaning & Household Essentials
SPL-016,Richmond Inc,Heather Garcia,408-414-3871,"947 Hicks Turnpike, North Nicholas, NM 64561",HeatherGarcia@RichmondInc.com,Stapler,Office Supplies
SPL-017,Clayton PLC,Justin Lee,602-927-1968,"9021 Cheryl Bypass Suite 098, Port Sherichester, NE 45915",JustinLee@ClaytonPLC.com,Trash Bags,Cleaning & Household Essentials
SPL-018,"Brown, Drake and Huang",Jacob Smith,215-921-9990,"07907 Johnson Ports Apt. 528, West Aprilmouth, ID 80240","JacobSmith@Brown,DrakeandHuang.com",Handbag,Accessories
